prediction,time
neutral,20
neutral,20
neutral,21
Angry,53
Angry,53
Angry,53
Angry,53
Angry,53
Angry,54
Angry,54
Angry,54
Angry,54
Angry,54
Angry,54
Angry,55
Angry,55
Angry,55
Angry,55
Angry,55
Angry,55
Angry,56
Angry,56
Angry,56
Angry,56
Angry,56
Angry,56
Angry,57
Angry,57
Angry,57
Angry,57
Angry,57
Angry,58
Angry,58
Angry,58
Angry,58
Angry,58
Angry,58
Angry,59
Angry,59
Angry,59
Angry,59
Angry,59
Angry,0
Angry,0
Angry,0
Angry,0
Angry,0
Angry,0
Angry,1
Angry,1
Angry,1
Angry,1
Angry,1
Angry,1
Angry,2
Angry,2
Angry,2
Angry,2
Angry,2
Angry,2
Angry,3
Angry,3
Angry,3
Angry,3
Angry,3
Angry,3
Angry,4
Angry,4
Angry,4
Angry,4
Angry,4
Angry,4
Angry,5
Angry,5
Angry,5
Angry,5
Angry,5
Angry,5
Angry,6
Angry,6
Angry,6
Angry,6
Angry,6
Angry,6
Angry,7
Angry,7
Angry,7
Angry,7
Angry,7
Angry,8
Angry,8
Angry,8
Angry,8
Angry,8
Angry,9
Angry,8
Angry,9
Angry,9
Angry,9
Angry,9
Angry,9
Angry,10
Angry,10
Angry,10
Angry,10
Angry,10
Angry,10
Angry,11
Angry,11
Angry,11
Angry,11
Angry,11
Angry,11
Angry,12
Angry,12
Angry,12
Angry,12
Angry,12
Angry,12
Angry,13
Angry,13
Angry,13
Angry,13
Angry,13
Angry,13
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,15
Angry,15
Happy,15
Happy,15
Angry,16
Angry,16
Angry,16
Angry,16
Angry,16
Angry,16
Happy,17
Happy,17
Happy,17
Happy,17
Happy,18
Happy,17
Happy,18
Happy,18
Angry,18
Angry,18
Angry,18
Angry,19
Angry,19
Angry,19
Angry,19
Happy,17
Angry,19
Angry,19
Angry,20
Angry,20
Angry,20
Angry,20
Angry,20
Angry,20
Angry,21
Angry,21
Angry,21
Angry,21
Angry,21
Angry,21
Angry,22
Angry,22
Angry,22
Angry,22
Angry,22
Angry,22
Angry,23
Angry,23
Angry,23
Angry,29
Angry,11
Sad,11
neutral,11
neutral,12
neutral,12
neutral,13
neutral,13
neutral,13
neutral,13
neutral,13
neutral,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,14
Angry,15
Angry,15
Angry,15
Angry,15
Angry,15
Angry,15
Happy,15
Angry,15
Angry,15
Angry,15
Angry,15
Angry,16
Angry,16
Angry,16
Angry,16
Angry,16
Angry,16
Angry,16
Angry,16
Angry,17
Angry,17
Angry,17
Angry,17
Angry,17
Angry,17
Angry,18
Angry,18
Angry,18
Angry,18
Angry,18
neutral,19
Angry,20
Angry,20
Angry,20
Angry,20
Angry,20
Angry,20
Angry,21
Angry,21
Angry,21
Angry,21
Angry,21
Angry,21
Angry,22
Angry,22
Angry,22
Angry,22
Happy,22
Happy,23
Angry,23
